name;population;Area(km2);Population;;;
Monaco;18,960;2.02;38300;;;
Gibraltar;5,011;6.7;33573;;;
Vatican City;1,684;0.49[a];825;;;
Malta;1,505;316;475701;;;
Guernsey ;955;65;62063;;;
Jersey;893;118.2;105500;;;
San Marino;546;61.2;33403;;;
Netherlands;421;41,543;17424978;;;
Flanders ;484;13,625;6589069;;;
Turkey;473;23,764;11241000;;;
England;424;130,279;55619400;;;
Belgium;376;30,689;11515793;;;
United Kingdom;272;242,495;66040229;;;
Liechtenstein;238;160;38111;;;
Luxembourg;233;2,586;602005;;;
Germany;232;357,168;82887000;;;
Wallonia;216;16,901;3633795;;;
Switzerland;206;41,285;8508898;;;
Italy;200;301,338;60404355;;;
Andorra;160;468;74794;;;
Wales;148;20,779;3125000;;;
Isle of Man;146;572;83314;;;
Denmark (Denmark proper[1]);135;42,931;5806015;;;
Czech Rep.;135;78,866;10625449;;;
Northern Ireland (UK);133;14,130;1876695;;;
Cyprus;126;9,251;1170125;;;
Poland;123;312,679;38433600;;;
France;118;551,695;65167000;;;
Azerbaijan;115;86,600;9959245;;;
Portugal;112;92,212;10291027;;;
Slovakia;111;49,035;5445087;;;
Austria;106;83,879;8857960;;;
Hungary;105;93,030;9778371;;;
Moldova;103;33,846;3473900;;;
Slovenia;102;20,273;2070050;;;
Albania;100;28,748;2870325;;;
Armenia;100;29,743;2969200;;;
Spain;92;505,990;46659302;;;
Serbia;90;77,474;7001444;;;
Romania;82;238,397;19523621;;;
Greece;82;131,957;10768193;;;
Macedonia;81;25,713;2075301;;;
Ukraine;73;576,628;42220824;;;
Croatia;73;56,594;4105493;;;
Ireland;69;70,273;4857000;;;
Bosnia and Herz.;69;51,129;3511372;;;
Scotland (UK);68;77,933;5424800;;;
Bulgaria;64;110,994;7050034;;;
Akrotiri and Dhekelia (UK);62;254;15700;;;
Georgia;54;69,700;3729600;;;
Belarus;46;207,595;9498700;;;
Montenegro;45;13,810;622387;;;
Lithuania;43;65,300;2795674;;;
Faroe Islands (Denmark);37;1,399;51095;;;
Latvia;30;64,589;1921800;;;
Estonia;29;45,227;1319133;;;
Russia;29;3,960,000;113112406;;;
Sweden;23;450,295;10215250;;;
Finland;16;338,424;5521533;;;
Norway;14;385,203;5323933;;;
Iceland;3.5;102,775;355620;;;